Name,Owner,Status,Timeline Event,Container Puzzle,Required For (Puzzle),Rewarded by (Puzzle),Basic Type,First Available,Associated Characters,Narrative Threads
Leila's locked box,Leila Bishara (https://www.notion.so/Leila-Bishara-1b62f33d583f8032ba00f0bd0c6e5905?pvs=21),Source Prop/print,,Leila's line puzzle (https://www.notion.so/Leila-s-line-puzzle-1dd2f33d583f80ef99abff203a81c38f?pvs=21),,,Prop,,,
Lobbying letter about AI advancements,Morgan Reed (https://www.notion.so/Morgan-Reed-1b62f33d583f80cf87d4db0faec3b54a?pvs=21),Idea/Placeholder,,,heat reveal (https://www.notion.so/heat-reveal-1dd2f33d583f8047a1f3f21d81aeb767?pvs=21),,Prop,,,
Taylor's locked jacket,Taylor Chase (https://www.notion.so/Taylor-Chase-1b62f33d583f8044b768e88bdeb3753c?pvs=21),Idea/Placeholder,,Taylor’s indexing puzzle (https://www.notion.so/Taylor-s-indexing-puzzle-1dc2f33d583f80e9a36bc89c24ae43f0?pvs=21),,,Prop,,,
Ashe's locked pouch,Ashe Motoko (https://www.notion.so/Ashe-Motoko-19f2f33d583f804fa5e2c90a3cac6699?pvs=21),Source Prop/print,,Ashe's talk-to-people math puzzle (https://www.notion.so/Ashe-s-talk-to-people-math-puzzle-1dc2f33d583f80e68cbdfd54cfe6f697?pvs=21),,,Prop,,,
Jessicah's purse,Jessicah Kane (https://www.notion.so/Jessicah-Kane-19f2f33d583f80e2af1fced97f5d8b60?pvs=21),Source Prop/print,,jewelry box scavenger hunt puzzle (https://www.notion.so/jewelry-box-scavenger-hunt-puzzle-1dc2f33d583f80538c30d34f227ed1ff?pvs=21),,,Prop,,,
Character Sheets,,Writing Complete,,,,,Prop,,,
Purse Key,Sarah Blackwood (https://www.notion.so/Sarah-Blackwood-18c2f33d583f804588f3c23116be2724?pvs=21),Ready for Playtest,,,False Bottom Puzzle (https://www.notion.so/False-Bottom-Puzzle-1b62f33d583f80f28333feae6e7f6bd5?pvs=21),,Prop,,,
Sarah's Purse,Sarah Blackwood (https://www.notion.so/Sarah-Blackwood-18c2f33d583f804588f3c23116be2724?pvs=21),In development,,False Bottom Puzzle (https://www.notion.so/False-Bottom-Puzzle-1b62f33d583f80f28333feae6e7f6bd5?pvs=21),,,Prop,,,Marriage Troubles
drinks menu,,Idea/Placeholder,,,Jamie's bar puzzle (https://www.notion.so/Jamie-s-bar-puzzle-1dd2f33d583f80b4a89ffea6523e4bb4?pvs=21),,,,,
sofia's headshot,,Idea/Placeholder,,,Sofia's headshot puzzle (https://www.notion.so/Sofia-s-headshot-puzzle-1de2f33d583f80e589e2f16fa694e299?pvs=21),,,,,
Tori's transparencies,Tori Zhang (https://www.notion.so/Tori-Zhang-1b62f33d583f80a7b85fd832d542b747?pvs=21),Idea/Placeholder,,,Tori's puzzle (https://www.notion.so/Tori-s-puzzle-1de2f33d583f8098bf2ace81771756dc?pvs=21),,,,,
Text between Skyler and Victoria,Skyler Iyer (https://www.notion.so/Skyler-Iyer-1b62f33d583f808681f8c0a239ef8736?pvs=21),Idea/Placeholder,,,Skyler's non-puzzle (https://www.notion.so/Skyler-s-non-puzzle-1de2f33d583f8012b944d60fad6057e1?pvs=21),,,,,
Oliver’s pill bottle,Oliver Sterling (https://www.notion.so/Oliver-Sterling-1b62f33d583f80babea1ce0d7650256d?pvs=21),Idea/Placeholder,,,Oliver's pill logic puzzle (https://www.notion.so/Oliver-s-pill-logic-puzzle-1de2f33d583f80d0bfc6cd2c725f8ed9?pvs=21),,,,,
Sofia's earrings,Sofia Francisco (https://www.notion.so/Sofia-Francisco-1b62f33d583f8063bc0cfa0195863eb9?pvs=21),Idea/Placeholder,,,Sofia's headshot puzzle (https://www.notion.so/Sofia-s-headshot-puzzle-1de2f33d583f80e589e2f16fa694e299?pvs=21),,,,,
Sofia's sunglasses,Sofia Francisco (https://www.notion.so/Sofia-Francisco-1b62f33d583f8063bc0cfa0195863eb9?pvs=21),Idea/Placeholder,,,Sofia's headshot puzzle (https://www.notion.so/Sofia-s-headshot-puzzle-1de2f33d583f80e589e2f16fa694e299?pvs=21),,,,,
Sofia's necklace,Sofia Francisco (https://www.notion.so/Sofia-Francisco-1b62f33d583f8063bc0cfa0195863eb9?pvs=21),Idea/Placeholder,,,Sofia's headshot puzzle (https://www.notion.so/Sofia-s-headshot-puzzle-1de2f33d583f80e589e2f16fa694e299?pvs=21),,,,,
Kai's puzzle note,Kai Andersen (https://www.notion.so/Kai-Andersen-1b62f33d583f80ceb624d8c9b78a7850?pvs=21),Idea/Placeholder,,,,,,,,
marks on the floors for kai's puzzle,Kai Andersen (https://www.notion.so/Kai-Andersen-1b62f33d583f80ceb624d8c9b78a7850?pvs=21),Idea/Placeholder,,,,,,,,
misc furniture for Kai's puzzle,Kai Andersen (https://www.notion.so/Kai-Andersen-1b62f33d583f80ceb624d8c9b78a7850?pvs=21),Idea/Placeholder,,,,,,,,
binary translation,Howie Sullivan (https://www.notion.so/Howie-Sullivan-1b62f33d583f807fb807d89bb65c2c33?pvs=21),Source Prop/print,,,,,,,,
Drink orders,Jamie Woods (https://www.notion.so/Jamie-Woods-1b62f33d583f80229a6fc558cbb376a8?pvs=21),Idea/Placeholder,,,Jamie's bar puzzle (https://www.notion.so/Jamie-s-bar-puzzle-1dd2f33d583f80b4a89ffea6523e4bb4?pvs=21),,,,,
The bar,Jamie Woods (https://www.notion.so/Jamie-Woods-1b62f33d583f80229a6fc558cbb376a8?pvs=21),Idea/Placeholder,,,,,,,,
Leila's fabric,Leila Bishara (https://www.notion.so/Leila-Bishara-1b62f33d583f8032ba00f0bd0c6e5905?pvs=21),Idea/Placeholder,,,Leila's line puzzle (https://www.notion.so/Leila-s-line-puzzle-1dd2f33d583f80ef99abff203a81c38f?pvs=21),,,,,
Morgan’s briefcase,Morgan Reed (https://www.notion.so/Morgan-Reed-1b62f33d583f80cf87d4db0faec3b54a?pvs=21),Idea/Placeholder,,heat reveal (https://www.notion.so/heat-reveal-1dd2f33d583f8047a1f3f21d81aeb767?pvs=21),,,,,,
Flip's locked box,Flip (https://www.notion.so/Flip-1b62f33d583f80538a7cfe8f669c0984?pvs=21),Source Prop/print,,,,,,,,
Text between Flip and his bookie,Flip (https://www.notion.so/Flip-1b62f33d583f80538a7cfe8f669c0984?pvs=21),Source Prop/print,,,,,,,,
Black Market Business card,"Ashe Motoko (https://www.notion.so/Ashe-Motoko-19f2f33d583f804fa5e2c90a3cac6699?pvs=21), Derek Thorn (https://www.notion.so/Derek-Thorn-18c2f33d583f80a39b13ca462bd2d606?pvs=21)",Source Prop/print,,,,,,,,
Taylor’s indexing puzzle note,Taylor Chase (https://www.notion.so/Taylor-Chase-1b62f33d583f8044b768e88bdeb3753c?pvs=21),Source Prop/print,,,,,,,,
Jessicah's key for locked purse,Jessicah Kane (https://www.notion.so/Jessicah-Kane-19f2f33d583f80e2af1fced97f5d8b60?pvs=21),Idea/Placeholder,,,jewelry box scavenger hunt puzzle (https://www.notion.so/jewelry-box-scavenger-hunt-puzzle-1dc2f33d583f80538c30d34f227ed1ff?pvs=21),,,,,
Jessicah's jewelry box with note from marcus,Jessicah Kane (https://www.notion.so/Jessicah-Kane-19f2f33d583f80e2af1fced97f5d8b60?pvs=21),Source Prop/print,,,jewelry box scavenger hunt puzzle (https://www.notion.so/jewelry-box-scavenger-hunt-puzzle-1dc2f33d583f80538c30d34f227ed1ff?pvs=21),,,,,
Diana's locked bag,Diana Nilsson (https://www.notion.so/Diana-Nilsson-19f2f33d583f801f8f0dfbe2aaabdffa?pvs=21),Source Prop/print,,,,,,,,
Ashe's puzzle note,Ashe Motoko (https://www.notion.so/Ashe-Motoko-19f2f33d583f804fa5e2c90a3cac6699?pvs=21),Source Prop/print,,,,,,,,
Paternity test for Jessicah,Diana Nilsson (https://www.notion.so/Diana-Nilsson-19f2f33d583f801f8f0dfbe2aaabdffa?pvs=21),Idea/Placeholder,,,Paternity test percentage (https://www.notion.so/Paternity-test-percentage-1dc2f33d583f80f4a90be432ae28c773?pvs=21),,,,,
Diana's emails about divorce,Diana Nilsson (https://www.notion.so/Diana-Nilsson-19f2f33d583f801f8f0dfbe2aaabdffa?pvs=21),Source Prop/print,,,,,,,,
